DAL,UAL,AAL
6.092987,5,2.896167
6.083569,4.89,2.886513
5.857554,4.87,2.789974
5.885806,4.91,2.789974
5.236013,4.53,2.500357
5.179509,4.39,2.471396
5.471447,4.65,2.490704
6.055318,4.97,2.847898
6.479095,5.27,2.973398
6.789866,5.29,2.847898
6.723945,5.12,2.761013
6.610937,5.04,2.809282
6.328419,4.65,2.635511
6.497929,4.66,2.65482
6.168325,4.37,2.538973
6.290749,4.12,2.577589
6.027066,3.83,2.616204
5.744546,3.73,2.519665
5.80105,3.82,2.55828
5.819885,3.98,2.60655
5.631539,3.82,2.538973
5.716295,3.85,2.48105
5.320768,3.57,2.384511
5.085336,3.2,2.094894
5.207761,3.17,2.075586
5.678626,3.57,2.287971
5.367854,3.48,2.268664
5.45261,3.47,2.181779
5.45261,3.19,2.345895
5.509114,3.29,2.326588
5.537367,3.31,2.374857
5.396107,3.34,2.287971
5.377273,3.26,2.143164
5.34902,3.25,2.065932
5.414941,3.18,2.08524
5.5562,3.26,1.988701
5.622121,3.31,2.036971
5.631539,3.27,1.969393
5.80105,3.47,2.027317
5.763382,3.49,2.008009
5.725712,3.39,1.969393
5.90464,3.51,2.056279
5.706878,3.72,2.008009
5.433776,3.36,1.979047
5.706878,3.44,2.220395
5.838719,3.79,2.693435
5.838719,3.72,2.703089
6.121238,3.96,2.799628
6.432008,4.16,2.915474
6.46026,4.13,2.934783
6.526181,4.12,2.82859
6.573268,4.21,2.645166
6.752196,5,2.905821
6.893456,5.92,3.147168
6.865204,5.85,2.95409
6.978212,6.04,3.098899
6.667442,5.97,2.963744
6.610937,5.71,2.809282
6.780448,5.83,2.934783
6.780448,6.31,3.021667
6.610937,6.15,2.973398
6.215411,5.63,2.809282
6.35667,5.77,2.82859
6.215411,5.61,2.789974
6.403758,5.79,2.905821
6.714527,6,3.040976
6.676859,6.03,3.079591
6.940542,6.55,3.330592
7.025298,6.76,3.629863
7.053549,6.54,3.52367
6.912291,6.52,3.446439
6.799282,6.23,3.282323
6.497929,5.71,2.896167
6.441427,5.67,3.021667
6.742779,6.18,3.147168
6.959378,6.31,3.263015
6.874621,6.33,3.30163
6.902873,6.45,3.456092
7.628006,7.6,3.880864
7.590337,7.66,3.890518
8.098869,8.43,3.987056
8.616821,8.79,4.247711
8.899338,9.09,4.228404
8.626237,8.6,4.952445
8.437892,8.52,4.807637
9.087683,9.4,5.242062
8.946424,9.05,5.048984
8.560315,8.73,4.363559
8.400223,8.83,4.74006
8.522648,9.3,4.78833
8.475561,9.13,4.769022
8.663908,9.18,4.701444
8.437892,9.22,4.537329
7.665675,7.24,4.112557
7.835184,7.21,4.160826
7.948194,7.3,4.199441
7.957612,7.21,4.228404
7.797516,6.99,4.102903
8.117705,7.22,4.21875
8.164792,7.2,4.315289
8.381389,7.16,4.353905
8.381389,7.28,4.286327
8.522648,7.82,4.324943
8.54148,7.64,4.363559
8.503815,7.43,4.141519
8.466142,7.26,4.035326
8.494396,7.9,4.199441
7.844603,6.92,3.736056
7.835184,7.21,3.726402
7.759846,6.86,3.562286
7.336069,6.66,3.253361
7.194809,6.65,3.031322
6.771031,6.33,3.021667
6.931125,6.64,3.098899
6.723945,6.51,2.95409
6.545016,6.44,2.809282
6.799282,6.64,2.82859
6.742779,6.46,2.818936
6.902873,6.52,2.847898
7.336069,6.96,3.079591
7.430241,7,3.089245
7.279564,6.7,2.95409
7.46791,7.3,3.118207
7.345487,7.12,3.040976
7.345487,7.25,3.108552
7.524415,7.51,3.263015
7.439658,7.48,3.234053
7.307817,7.16,3.156822
7.147723,7.07,3.012013
7.175975,7.02,2.992706
7.279564,7.15,2.992706
7.213644,7.08,3.185784
7.430241,7.33,3.407823
7.449077,7.25,3.3499
7.712758,7.76,3.562286
8.117705,8.26,3.562286
8.748662,9.29,3.832594
8.833417,9.22,3.91948
9.360785,9.72,4.276673
9.567966,9.83,4.489059
9.304281,9.87,4.34425
9.294866,10,4.276673
9.304281,10.17,4.21875
10.59445,10.99,4.662829
10.443773,11.52,4.585598
10.311933,11.05,4.373213
10.971143,11.26,4.614559
10.924056,11.15,4.460096
10.980558,11.42,4.373213
10.726294,11.52,4.44079
11.102983,12.93,4.952445
11.121819,13.09,4.991061
11.08415,13.09,5.193792
10.632121,12.64,4.846252
10.669788,12.67,4.682137
10.707458,12.8,4.701444
10.716874,12.91,4.672482
10.566198,12.8,4.604905
11.394919,13.91,5.126216
11.404338,13.27,4.91383
11.95054,13.55,5.058639
11.743361,13.33,4.9621
12.044712,13.11,4.865561
11.80928,12.69,4.904175
12.101216,13.95,5.290332
12.402571,13.93,5.396525
11.997626,13.25,5.30964
12.270728,13.26,5.444794
12.628585,13.55,5.541334
12.656837,13.13,5.271023
12.515576,13.21,5.058639
12.553247,12.88,5.03933
12.383735,12.79,4.875214
12.393154,12.83,4.691791
11.912871,12.63,4.9621
11.517345,12.23,5.126216
11.894037,12.75,5.406178
12.148302,13.72,5.753718
11.696273,13.36,5.464102
10.792214,12.36,5.299985
10.641537,12.78,5.686141
10.59445,13.07,5.724756
11.668021,15.36,6.217105
10.905221,15.36,6.091604
11.140655,15.66,6.101259
11.536179,15.95,6.574299
11.752777,15.68,6.641876
11.988211,15.49,6.564646
11.818697,14.98,6.497068
11.95054,15.33,6.690146
11.988211,15.53,6.777031
11.903455,15.58,6.844608
12.007045,15.67,6.921839
11.922289,15.66,6.834954
12.167137,17.15,7.076301
12.402571,18.030001,7.423843
12.035295,17.870001,7.414187
12.176556,18.25,7.211454
12.035295,18.059999,7.066648
11.959957,18.23,7.17284
11.80928,17.52,7.066648
12.063549,18.16,7.44315
12.524995,18.98,7.665187
12.233058,19.17,7.568649
12.082382,19.68,7.674842
11.922289,19.879999,7.626573
12.223642,20.18,7.501072
12.185973,19.49,7.327302
12.346066,19.530001,7.240417
11.837533,18.530001,6.854262
12.308394,19.43,7.018378
12.647421,19.530001,7.134224
13.005277,19.6,7.153533
13.372551,19.66,7.114917
13.655069,19.91,7.04734
13.796328,19.99,7.066648
13.768077,19.709999,6.970108
13.739825,19.549999,7.09561
13.833997,19.51,7.143879
13.579732,19.35,6.883224
13.805746,19.469999,6.834954
13.344301,18.950001,6.583953
13.947006,20.23,7.288687
13.730409,20.5,7.066648
14.060014,21.469999,7.356264
13.532645,21.48,7.230762
13.551479,22.360001,7.163185
13.551479,23.540001,7.153533
13.061779,22.83,6.902531
12.411989,21.66,6.65153
12.393154,21.780001,6.892877
11.837533,21.43,6.52603
11.63977,21.709999,6.246067
12.251895,22.99,6.400529
12.195389,22.360001,6.255721
11.507928,20.51,6.110912
11.470259,21.75,7.066648
11.404338,21.469999,7.076301
11.376086,21.6,6.825301
11.856368,22.110001,7.134224
11.074734,19.77,6.622569
11.611519,19.780001,6.690146
11.037065,17.969999,6.168836
11.018229,17.889999,6.159182
11.583266,19.43,6.709454
11.677439,19.549999,6.593606
12.760427,20.370001,7.04734
12.477908,20.110001,6.989417
12.939354,19.85,6.844608
13.1277,19.950001,6.931493
12.779262,19.370001,6.757722
12.835767,18.84,7.143879
12.157721,17.709999,6.603261
12.562665,18.530001,6.960454
12.675673,18.280001,6.796338
13.033527,18.959999,7.539688
13.042945,19.75,8.157538
13.13712,20.389999,8.4375
12.78868,20.01,8.524385
12.751012,19.35,8.340961
13.268962,21.780001,9.113272
13.447889,22.24,8.891232
12.78868,21.08,8.292693
12.364901,20.299999,8.060998
12.421405,20.83,8.283037
12.581498,21.34,8.234768
12.572081,21.950001,8.842961
12.666254,22.780001,9.586314
12.892267,22.91,9.325658
13.174789,23.74,10.097968
13.259543,23.969999,10.204161
13.363134,23.92,10.368279
12.911103,23.799999,10.07866
12.703922,23.24,9.653889
11.931705,22.1,9.142237
11.922289,22,9.248426
11.592685,21.49,9.238773
11.300747,20.91,8.842961
11.338417,20.809999,8.765733
10.650955,19.99,8.244421
11.065314,20.559999,8.311999
11.037065,20.719999,8.350616
10.387269,18.59,7.906536
10.453191,18.639999,7.800344
11.027648,20.049999,8.997425
11.08415,20.51,9.20981
10.971143,21.360001,9.20981
10.989979,21.42,8.881579
11.404338,22.440001,9.00708
11.498509,22.700001,8.958809
11.310165,21.98,8.794694
11.037065,21.35,8.640231
10.716874,21.18,8.321652
10.858135,22.200001,8.61127
10.264846,21.77,8.891232
10.792214,22.780001,9.509081
10.782796,22.959999,9.99178
11.281913,24.25,10.532393
11.027648,23.709999,10.175201
10.867552,23.780001,10.252432
11.008812,23.780001,10.291047
11.187741,23.74,10.474472
11.875202,24.17,10.27174
11.442005,23.200001,10.291047
11.168904,22.610001,9.682851
11.1124,22.299999,9.306351
11.121819,22.32,9.161542
11.479676,23.23,9.393233
11.1124,22.459999,9.383581
10.698039,21,8.814003
10.811049,21.360001,8.910541
10.87697,21.48,8.823655
10.811049,21.74,8.891232
10.698039,21.23,9.171196
10.698039,21.43,9.277389
10.151836,20.58,8.871923
9.916405,20.51,8.78504
9.859903,20.469999,8.582307
9.379621,19.73,8.447155
9.445541,19.370001,8.476115
9.454957,19.639999,8.340961
9.850484,20.450001,8.833308
9.76573,20.709999,8.563001
9.850484,21.200001,8.727118
10.057665,21.93,9.229118
10.208343,22.290001,9.316003
10.406106,22.5,9.624928
10.048247,22.27,9.20981
10.06708,22.059999,9.161542
10.010576,20.940001,8.794694
9.925826,20.84,8.48577
10.029412,21.299999,8.302345
10.52853,21.77,8.476115
10.829883,21.709999,8.601617
10.905221,22.219999,8.804348
10.52853,21.950001,8.765733
10.87697,22.42,8.891232
11.25366,23.5,9.20981
10.754546,22.639999,8.649886
10.660371,22.389999,8.524385
11.018229,22.790001,8.678844
10.726294,22.84,8.968462
10.914639,23.02,8.920193
10.914639,23.41,8.746426
10.961725,23.66,8.929849
11.310165,24.700001,8.968462
10.839301,24.1,8.804348
11.140655,24.469999,8.910541
11.093568,24.969999,8.910541
11.08415,25.719999,8.920193
10.735708,26.440001,8.756079
10.585032,26.040001,8.6885
10.754546,26.98,9.219465
10.905221,26.690001,9.460814
10.782796,25.83,9.441504
10.716874,26.15,9.364275
10.839301,26.32,9.769736
11.018229,25.690001,9.740777
12.214225,27.629999,10.464816
12.741592,27.799999,10.377933
12.411989,27.709999,10.435856
12.685089,27.709999,11.179206
12.553247,28.440001,11.324013
12.977023,29.530001,11.584669
13.071198,28.92,11.46882
13.080614,29.040001,11.381934
12.920521,28.4,11.256434
13.042945,28.610001,11.507437
13.363134,28.93,11.652245
13.353718,27.860001,11.159896
13.429053,27.860001,11.169551
13.268962,28.59,10.841317
13.052362,28.049999,10.609625
12.751012,28.040001,10.406896
12.751012,28.4,10.445508
12.675673,27.870001,10.262085
12.430821,27.469999,10.339315
12.383735,27.18,10.320008
12.440239,27.34,10.329661
12.967608,27.98,10.638586
12.958191,28.620001,10.696512
12.958191,28.68,10.79305
12.911103,27.92,10.715818
13.494977,29.209999,11.333667
13.400804,28.860001,11.295052
13.325465,28.200001,10.889588
